Date,Open,Close,Volume (BTC)
2016-02-19,421.15,419.54,5015.53810237
2016-02-20,419.98,434.63,11633.2727425
2016-02-21,434.63,438.5,10300.3526042
2016-02-22,438.33,438.27,5840.3160546
2016-02-23,438.26,419.1,10509.6050782
2016-02-24,419.1,423.78,7258.35730294
2016-02-25,423.79,423.51,5597.96719924
2016-02-26,423.38,432.0,4635.1202274
2016-02-27,432.0,431.07,4159.35798035
2016-02-28,431.07,431.68,3501.18941279
2016-02-29,430.26,435.23,8463.34883153
2016-03-01,436.75,432.5,6941.51621427
2016-03-02,433.33,423.45,5788.38363163
2016-03-03,422.4,420.29,7483.6467555
2016-03-04,420.29,408.01,7789.00370914
2016-03-05,408.18,399.83,16436.4038617
2016-03-06,399.77,406.23,5692.00930852
2016-03-07,406.15,414.01,5937.73379583
2016-03-08,413.96,411.75,5576.2582036
2016-03-09,412.14,413.0,4876.78893016
2016-03-10,412.99,416.0,5255.299453
2016-03-11,416.0,419.13,5950.80704895
2016-03-12,419.14,410.9,4640.49424972
2016-03-13,409.95,413.04,3286.86910903
2016-03-14,412.99,414.99,4470.78743496
2016-03-15,414.83,415.85,4569.87994639
2016-03-16,415.84,416.57,4100.47706379
2016-03-17,416.52,418.49,3704.16067257
2016-03-18,418.47,407.91,6391.24659493
2016-03-19,407.5,409.04,2870.24736036
2016-03-20,408.36,411.28,2579.0021276
2016-03-21,410.62,411.67,3546.2789106
2016-03-22,411.15,416.64,3950.15519464
2016-03-23,416.39,417.62,4946.39651107
2016-03-24,417.62,415.17,2776.60883207
2016-03-25,415.17,415.7,2588.78272326
2016-03-26,415.6,416.96,1253.0063756
2016-03-27,416.96,424.77,5038.8775332
2016-03-28,424.62,422.87,3283.79146452
2016-03-29,422.87,415.95,5955.00099026
2016-03-30,415.43,413.74,4824.85455188
2016-03-31,413.68,414.66,3774.42082775
2016-04-01,414.66,416.31,3736.77266241
2016-04-02,416.31,419.0,2072.95050098
2016-04-03,419.35,419.11,1337.67303294
2016-04-04,418.51,418.75,3457.56274345
2016-04-05,418.81,422.71,3956.55659754
2016-04-06,422.71,421.03,2396.3483709
2016-04-07,420.62,420.0,3216.81131955
2016-04-08,419.99,417.75,4584.13099271
2016-04-09,417.75,418.24,3599.39669345
2016-04-10,418.59,420.04,1779.82860787
2016-04-11,420.4,422.69,3487.8325098
2016-04-12,422.79,425.54,6082.73402325
2016-04-13,425.32,423.93,3917.08383409
2016-04-14,423.6,424.86,3863.79952226
2016-04-15,424.4,429.45,4406.24086239
2016-04-16,429.29,430.69,1848.39276214
2016-04-17,430.18,427.42,1502.86305955
2016-04-18,427.15,428.14,3180.43077191
2016-04-19,428.14,435.63,3798.23746594
2016-04-20,435.7,442.13,7602.64664993
2016-04-21,441.99,451.0,5421.15632535
2016-04-22,451.0,447.7,5494.44115676
2016-04-23,447.16,451.92,2250.0352108
2016-04-24,451.92,460.02,7103.31254852
2016-04-25,460.03,462.33,5607.18864396
2016-04-26,462.29,467.42,4629.18548678
2016-04-27,467.39,445.38,7084.23987101
2016-04-28,445.39,449.14,8736.25774023
2016-04-29,449.94,456.53,2982.54077936
2016-04-30,456.53,448.37,2419.58249945
2016-05-01,448.43,453.0,1190.69815095
2016-05-02,452.99,444.06,6362.93159046
2016-05-03,444.06,450.61,5576.91459995
2016-05-04,451.18,446.63,3327.60727439
2016-05-05,447.36,448.5,2569.5932008
2016-05-06,448.5,458.48,5540.13889435
2016-05-07,458.98,458.07,2004.63685564
2016-05-08,458.97,458.21,1353.23221968
2016-05-09,457.75,460.82,3536.50388948
2016-05-10,461.49,451.62,5746.15794317
2016-05-11,450.88,452.91,3352.58050446
2016-05-12,452.95,455.2,3453.49239803
2016-05-13,455.2,455.91,2822.65051924
2016-05-14,456.42,455.57,1377.71832273
2016-05-15,456.3,457.56,1612.71056651
2016-05-16,457.56,454.0,3248.19201842
2016-05-17,454.0,453.08,3430.47946611
2016-05-18,452.96,452.92,2608.23175369
2016-05-19,452.47,436.3,5961.1150858
2016-05-20,436.3,442.72,3448.22731015
2016-05-21,442.84,443.31,1916.43483232
2016-05-22,442.72,438.8,2350.68206329
2016-05-23,438.72,442.99,2625.60063214
2016-05-24,442.63,443.97,3072.77859999
2016-05-25,445.31,448.7,3663.31591095
2016-05-26,448.27,452.07,3768.49837209
2016-05-27,452.07,472.05,12234.2033193
2016-05-28,470.58,519.41,12568.0311236
2016-05-29,522.13,517.84,8215.67477949
2016-05-30,517.6,527.64,6074.77470614
2016-05-31,527.64,531.84,12071.1819586
2016-06-01,532.37,536.95,5456.942657
2016-06-02,536.95,538.0,3939.35132757
2016-06-03,538.0,569.94,8801.7746347
2016-06-04,569.93,573.8,6216.6271931
2016-06-05,573.5,573.91,5415.93469447
2016-06-06,573.8,584.5,4465.51612085
2016-06-07,584.12,577.54,6705.91830357
2016-06-08,577.48,583.03,3259.15110512
2016-06-09,583.01,575.01,3770.7182618
2016-06-10,576.06,578.01,3458.56492292
2016-06-11,576.53,610.0,4000.07125397
2016-06-12,610.0,672.13,14138.3068012
2016-06-13,668.73,704.49,17280.603971
2016-06-14,703.81,685.25,10633.4405021
2016-06-15,685.25,695.0,5783.92382786
2016-06-16,695.0,766.62,17946.826847
2016-06-17,767.37,745.22,14687.2708368
2016-06-18,745.0,754.83,5903.47180558
2016-06-19,753.47,761.44,2617.27920864
2016-06-20,759.12,730.85,7975.97107838
2016-06-21,725.0,667.54,33056.2896443
2016-06-22,665.36,601.3,16456.4087792
2016-06-23,600.51,624.91,24334.0793193
2016-06-24,622.59,661.71,16163.8016025
2016-06-25,660.76,659.86,6576.67165429
2016-06-26,658.8,630.16,5838.1489745
2016-06-27,630.16,657.5,8668.59311399
2016-06-28,657.49,646.08,5478.35678011
2016-06-29,644.33,634.11,9132.47818623
2016-06-30,635.91,667.95,7479.78991538
2016-07-01,666.33,674.86,6432.9196212
2016-07-02,674.55,702.48,5506.04313621
2016-07-03,702.48,658.27,7320.31995024
2016-07-04,659.77,680.35,4290.13225288
2016-07-05,678.74,668.94,3112.7271219
2016-07-06,669.09,674.7,3590.61112814
2016-07-07,674.7,638.19,12686.9774814
2016-07-08,638.89,663.0,6579.38521243
2016-07-09,663.0,647.78,6180.15042485
2016-07-10,647.78,648.76,2313.34939114
2016-07-11,648.77,649.32,2978.13685533
2016-07-12,649.32,663.52,4288.07627477
2016-07-13,663.52,655.06,6573.20203068
2016-07-14,652.24,659.1,2392.43467683
2016-07-15,660.3,664.6,3228.34264303
2016-07-16,664.6,662.45,1682.67647056
2016-07-17,662.45,679.54,3437.77012475
2016-07-18,679.54,672.1,3012.20623456
2016-07-19,673.45,673.48,1904.43446142
2016-07-20,674.8,667.03,3418.62509416
2016-07-21,667.01,663.99,2503.04270767
2016-07-22,663.25,649.95,5191.55506577
2016-07-23,647.88,655.52,1284.52223933
2016-07-24,655.52,661.47,1427.97990306
2016-07-25,659.64,654.96,2441.94401025
2016-07-26,655.0,651.24,3552.82907397
2016-07-27,651.22,653.48,2664.94311137
2016-07-28,655.13,653.07,1909.23654208
2016-07-29,654.84,654.61,1297.14816627
2016-07-30,654.88,654.67,719.15982547
2016-07-31,654.02,623.83,4933.61939038
2016-08-01,622.5,606.35,5512.82137405
2016-08-02,606.84,540.0,22142.6673397
2016-08-03,540.0,563.42,15453.5861596
2016-08-04,563.99,576.13,8499.83692796
2016-08-05,578.14,572.5,4811.23583899
2016-08-06,572.98,589.48,6021.3087891
2016-08-07,589.47,592.47,2910.30990604
2016-08-08,592.47,591.88,3181.85250852
2016-08-09,591.85,582.75,3174.70598792
2016-08-10,582.71,590.27,5217.75905561
2016-08-11,590.46,585.22,2543.68401092
2016-08-12,585.25,585.91,2177.37864395
2016-08-13,585.34,583.52,962.30229892
2016-08-14,583.54,568.76,4812.88862744
2016-08-15,568.76,565.55,4633.74558455
2016-08-16,564.2,574.99,4837.18871903
2016-08-17,574.95,570.91,4108.5976507
2016-08-18,570.91,571.49,3967.28412511
2016-08-19,571.51,572.91,4652.00521466
2016-08-20,572.98,577.88,2431.78684382
2016-08-21,577.7,577.55,1139.76224273
2016-08-22,577.55,582.78,5086.06256577
2016-08-23,582.78,580.23,4182.04589939
2016-08-24,580.27,577.58,2991.01460758
2016-08-25,577.65,575.71,4231.40701036
2016-08-26,575.75,578.78,3300.29774328
2016-08-27,577.92,568.31,2702.58036182
2016-08-28,567.51,573.2,1034.07669959
2016-08-29,573.2,571.5,2333.00891707
2016-08-30,570.74,575.91,4439.35420543
